Thumb,Index,Middle,Ring,Little,Label
21.72,4.31,10.81,12.98,8.64,Thumb_bent
39.40,0.00,4.31,6.47,0.00,Thumb_bent
21.72,8.64,15.16,2.15,8.64,Thumb_bent
21.72,8.64,10.81,6.47,0.00,Thumb_bent
10.81,4.31,12.98,10.81,12.98,Thumb_bent
23.91,0.00,10.81,10.81,0.00,Thumb_bent
19.53,8.64,6.47,19.53,19.53,Thumb_bent
26.11,4.31,17.34,4.31,10.81,Thumb_bent
28.32,0.00,23.91,6.47,0.00,Thumb_bent
19.53,8.64,21.72,10.81,10.81,Thumb_bent
23.91,6.47,10.81,6.47,0.00,Thumb_bent
26.11,15.16,21.72,10.81,0.00,Thumb_bent
23.91,6.47,23.91,4.31,19.53,Thumb_bent
34.96,10.81,19.53,4.31,4.31,Thumb_bent
23.91,12.98,21.72,10.81,2.15,Thumb_bent
17.34,8.64,19.53,8.64,8.64,Thumb_bent
37.18,0.00,23.91,2.15,10.81,Thumb_bent
34.96,4.31,28.32,10.81,8.64,Thumb_bent
50.60,8.64,12.98,0.00,0.00,Thumb_bent
37.18,6.47,15.16,10.81,4.31,Thumb_bent
41.63,15.16,10.81,10.81,2.15,Thumb_bent
71.04,17.34,19.53,0.00,2.15,Thumb_bent
57.37,8.64,15.16,6.47,8.64,Thumb_bent
17.34,0.00,21.72,8.64,0.00,Thumb_bent
21.72,0.00,21.72,15.16,6.47,Thumb_bent
10.81,0.00,21.72,10.81,15.16,Thumb_bent
21.72,8.64,23.91,15.16,2.15,Thumb_bent
30.53,8.64,21.72,2.15,12.98,Thumb_bent
26.11,10.81,12.98,15.16,10.81,Thumb_bent
23.91,6.47,26.11,2.15,8.64,Thumb_bent
19.53,8.64,12.98,8.64,0.00,Thumb_bent
19.53,15.16,26.11,0.00,4.31,Thumb_bent
23.91,19.53,23.91,8.64,0.00,Thumb_bent
19.53,12.98,21.72,17.34,6.47,Thumb_bent
23.91,2.15,12.98,15.16,12.98,Thumb_bent
28.32,6.47,15.16,0.00,4.31,Thumb_bent
21.72,10.81,17.34,8.64,4.31,Thumb_bent
26.11,12.98,26.11,15.16,0.00,Thumb_bent
19.53,10.81,19.53,17.34,12.98,Thumb_bent
26.11,4.31,15.16,15.16,6.47,Thumb_bent
41.63,8.64,19.53,10.81,4.31,Thumb_bent
254.31,6.47,17.34,12.98,0.00,Thumb_bent
230.45,4.31,23.91,4.31,4.31,Thumb_bent
71.04,10.81,12.98,4.31,0.00,Thumb_bent
189.17,6.47,12.98,8.64,4.31,Thumb_bent
26.11,0.00,19.53,17.34,0.00,Thumb_bent
89.52,8.64,6.47,15.16,12.98,Thumb_bent
137.07,8.64,26.11,10.81,0.00,Thumb_bent
50.60,0.00,2.15,8.64,4.31,Thumb_bent
222.60,0.00,8.64,2.15,2.15,Thumb_bent
30.53,4.31,23.91,8.64,12.98,Thumb_bent
77.94,6.47,15.16,10.81,0.00,Thumb_bent
84.87,15.16,21.72,4.31,2.15,Thumb_bent
89.52,15.16,21.72,15.16,10.81,Thumb_bent
84.87,0.00,2.15,8.64,6.47,Thumb_bent
105.94,15.16,8.64,17.34,0.00,Thumb_bent
110.68,0.00,12.98,10.81,6.47,Thumb_bent
115.43,6.47,8.64,2.15,4.31,Thumb_bent
113.05,0.00,19.53,12.98,6.47,Thumb_bent
117.82,15.16,19.53,19.53,15.16,Thumb_bent
120.21,2.15,6.47,10.81,12.98,Thumb_bent
115.43,0.00,8.64,6.47,4.31,Thumb_bent
127.40,2.15,15.16,8.64,0.00,Thumb_bent
115.43,6.47,10.81,8.64,4.31,Thumb_bent
96.53,0.00,17.34,0.00,2.15,Thumb_bent
115.43,0.00,19.53,4.31,12.98,Thumb_bent
125.00,12.98,12.98,8.64,4.31,Thumb_bent
141.94,0.00,17.34,10.81,17.34,Thumb_bent
132.23,8.64,12.98,4.31,0.00,Thumb_bent
137.07,4.31,21.72,10.81,2.15,Thumb_bent
137.07,15.16,17.34,10.81,4.31,Thumb_bent
134.65,4.31,23.91,0.00,2.15,Thumb_bent
110.68,6.47,21.72,10.81,10.81,Thumb_bent
127.40,12.98,19.53,2.15,0.00,Thumb_bent
105.94,19.53,28.32,8.64,12.98,Thumb_bent
137.07,0.00,21.72,4.31,0.00,Thumb_bent
132.23,2.15,23.91,0.00,0.00,Thumb_bent
120.21,8.64,15.16,23.91,0.00,Thumb_bent
120.21,2.15,23.91,0.00,8.64,Thumb_bent
115.43,6.47,12.98,6.47,17.34,Thumb_bent
96.53,15.16,21.72,0.00,10.81,Thumb_bent
75.63,8.64,12.98,4.31,0.00,Thumb_bent
105.94,12.98,8.64,12.98,6.47,Thumb_bent
77.94,0.00,17.34,0.00,6.47,Thumb_bent
122.60,8.64,17.34,4.31,6.47,Thumb_bent
113.05,8.64,8.64,2.15,2.15,Thumb_bent
110.68,6.47,23.91,6.47,2.15,Thumb_bent
127.40,6.47,17.34,12.98,0.00,Thumb_bent
110.68,12.98,15.16,8.64,6.47,Thumb_bent
103.58,4.31,23.91,12.98,15.16,Thumb_bent
117.82,17.34,28.32,8.64,10.81,Thumb_bent
98.88,4.31,19.53,0.00,19.53,Thumb_bent
91.85,2.15,15.16,10.81,0.00,Thumb_bent
84.87,0.00,6.47,0.00,6.47,Thumb_bent
115.43,10.81,19.53,8.64,0.00,Thumb_bent
105.94,10.81,10.81,19.53,8.64,Thumb_bent
132.23,6.47,19.53,4.31,8.64,Thumb_bent
101.23,6.47,19.53,10.81,10.81,Thumb_bent
108.31,10.81,23.91,2.15,4.31,Thumb_bent
84.87,12.98,21.72,6.47,17.34,Thumb_bent
75.63,0.00,21.72,19.53,6.47,Thumb_bent
68.75,0.00,12.98,4.31,17.34,Thumb_bent
77.94,2.15,12.98,17.34,6.47,Thumb_bent
73.33,10.81,17.34,10.81,0.00,Thumb_bent
91.85,15.16,10.81,10.81,15.16,Thumb_bent
122.60,2.15,21.72,10.81,0.00,Thumb_bent
82.56,12.98,15.16,8.64,4.31,Thumb_bent
71.04,17.34,8.64,6.47,4.31,Thumb_bent
64.19,8.64,21.72,19.53,4.31,Thumb_bent
80.24,0.00,19.53,4.31,4.31,Thumb_bent
84.87,12.98,19.53,6.47,6.47,Thumb_bent
91.85,8.64,21.72,8.64,8.64,Thumb_bent
96.53,15.16,15.16,6.47,10.81,Thumb_bent
108.31,0.00,17.34,15.16,0.00,Thumb_bent
108.31,10.81,19.53,15.16,0.00,Thumb_bent
139.50,2.15,32.74,8.64,0.00,Thumb_bent
125.00,12.98,19.53,10.81,8.64,Thumb_bent
115.43,0.00,19.53,0.00,6.47,Thumb_bent
125.00,0.00,19.53,6.47,15.16,Thumb_bent
166.56,12.98,21.72,10.81,8.64,Thumb_bent
156.65,15.16,12.98,0.00,4.31,Thumb_bent
